COMPOSITE TABLE
i	  d
!---------------
1211      8280.0 
1212      3385.0 
1213      6390.0 
1214      7510.0 
1215      10090.0 
1216      8740.0 
1217      7295.0 
1218      4065.0 
1221      7665.0 
1222      10270.0 
1223      10870.0 
1231      8565.0 
1241      6725.0 
1243      1240.0 
1244      1515.0 
1251      10995.0 
1252      325.0 
1261      8955.0 
1271      7945.0 
1272      6285.0 
1273      9100.0 
1274      6925.0 
1275      2190.0 
1276      7220.0 
1277      2270.0 
1381      4805.0 
1382      9050.0 
1383      3780.0 
1394      5125.0 
1398      3320.0 
1399      3175.0 
1401      4710.0 
1402      9280.0 
1403      8935.0 
1404      3035.0 
1405      2885.0 
1406      3265.0 
1411      9765.0 
1412      7385.0 
3625      210.0
