COMPOSITE TABLE
i	  d
!---------------
2951      9640.0 
2952      760.0 
2953      5755.0 
2954      2865.0 
2957      8725.0 
2959      2555.0 
2961      805.0 
2964      4020.0 
2965      1370.0 
2967      1685.0 
2968      105.0 
2969      2170.0 
2971      2790.0 
2973      1080.0 
2974      1220.0 
2975      955.0 
2977      880.0 
2995      3755.0 
3261      9310.0 
3262      9065.0 
3263      5180.0 
3264      3845.0 
3265      1660.0 
3267      2025.0 
3271      4365.0 
3273      2115.0 
3274      3330.0 
3281      8770.0 
3284      3360.0 
3286      4045.0 
3291      7955.0 
3292      475.0 
3293      480.0 
3295      9080.0 
3297      6735.0 
3299      3290.0 
3311      15920.0 
3312      11060.0 
3313      5365.0 
3314      16090.0 
3315      20285.0 
3316      835.0 
3317      14735.0 
3318      5540.0 
3319      10260.0 
3328      15920.0 
3329      2400.0 
3331      10870.0 
3332      9605.0 
3333      7070.0 
3334      6155.0 
3335      6875.0 
3336      70.0 
3341      6970.0 
3342      6305.0 
3343      6860.0 
3344      6755.0 
3351      8805.0 
3352      3530.0 
3353      5860.0 
3354      2550.0 
3355      6290.0 
3356      4815.0 
3361      6350.0 
3362      11500.0 
3363      5940.0 
3364      255.0 
3366      705.0 
3371      11875.0 
3372      4625.0 
3373      995.0 
3381      4885.0 
4126      935.0 
4128      2585.0 
4141      5245.0 
4142      6035.0 
4143      6860.0 
4145      1545.0 
4163      220.0 
4201      5295.0 
4202      80.0 
4203      165.0 
4204      5220.0 
4205      9760.0 
4206      2000.0 
4207      11145.0 
4209      1205.0 
4213      935.0 
4221      1440.0 
4223      1675.0 
4225      1815.0 
4231      3640.0 
4233      2905.0 
4235      720.0 
4241      3425.0 
4243      1045.0 
4245      1560.0 
4247      835.0
